Ntime,Matlab_time,Close
20150217,736012,24830
20150218,736013,24847
20150223,736018,24863
20150224,736019,24782
20150225,736020,24810
20150226,736021,24856
20150227,736022,24794
20150302,736025,24803
20150303,736026,24589
20150304,736027,24347
20150305,736028,24140
20150306,736029,24108
20150309,736032,24070
20150310,736033,23870
20150311,736034,23646
20150312,736035,23755
20150313,736036,23761
20150316,736039,23950
20150317,736040,23868
20150318,736041,24130
20150319,736042,24517
20150320,736043,24411
20150323,736046,24482
20150324,736047,24423
20150325,736048,24571
20150326,736049,24518
20150327,736050,24546
20150330,736053,24867
20150331,736054,24949
20150401,736055,25100
20150402,736056,25216
20150408,736062,26244
20150409,736063,27073
20150410,736064,27300
20150413,736067,28030
20150414,736068,27572
20150415,736069,27619
20150416,736070,27736
20150417,736071,27680
20150420,736074,27139
20150421,736075,27879
20150422,736076,27807
20150423,736077,27799
20150424,736078,28033
20150427,736081,28410
20150428,736082,28433
20150429,736083,28337
20150430,736084,28105
20150504,736088,28156
20150505,736089,27781
20150506,736090,27666
20150507,736091,27202
20150508,736092,27510
20150511,736095,27632
20150512,736096,27329
20150513,736097,27188
20150514,736098,27230
20150515,736099,27864
20150518,736102,27510
20150519,736103,27679
20150520,736104,27466
20150521,736105,27593
20150522,736106,27982
20150526,736110,28296
20150527,736111,28066
20150528,736112,27605
20150529,736113,27164
20150601,736116,27230
20150602,736117,27179
20150603,736118,27369
20150604,736119,27450
20150605,736120,27011
20150608,736123,27035
20150609,736124,26734
20150610,736125,26382
20150611,736126,26749
20150612,736127,27128
20150615,736130,26599
20150616,736131,26278
20150617,736132,26539
20150618,736133,26491
20150619,736134,26640
20150622,736137,26929
20150623,736138,27287
20150624,736139,27278
20150625,736140,27140
20150626,736141,26733
20150629,736144,26002
20150630,736145,26204
20150702,736147,26330
20150703,736148,26011
20150706,736151,25284
20150707,736152,25025
20150708,736153,23176
20150709,736154,24458
20150710,736155,24899
20150713,736158,25174
20150714,736159,25008
20150715,736160,25030
20150716,736161,25067
20150717,736162,25420
20150720,736165,25389
20150721,736166,25516
20150722,736167,25233
20150723,736168,25386
20150724,736169,25161
20150727,736172,24346
20150728,736173,24469
20150729,736174,24609
20150730,736175,24657
20150731,736176,24526
20150803,736179,24278
20150804,736180,24264
20150805,736181,24466
20150806,736182,24310
20150807,736183,24451
20150810,736186,24401
20150811,736187,24390
20150812,736188,23720
20150813,736189,24044
20150814,736190,23952
20150817,736193,23787
20150818,736194,23439
20150819,736195,23074
20150820,736196,22666
20150821,736197,22488
20150824,736200,21128
20150825,736201,21575
20150826,736202,21113
20150827,736203,21795
20150828,736204,21965
20150831,736207,21464
20150901,736208,20879
20150902,736209,20699
20150904,736211,20612
20150907,736214,20427
20150908,736215,21304
20150909,736216,21971
20150910,736217,21474
20150911,736218,21375
20150914,736221,21474
20150915,736222,21333
20150916,736223,21980
20150917,736224,21730
20150918,736225,22084
20150921,736228,21681
20150922,736229,21592
20150923,736230,21313
20150924,736231,21181
20150925,736232,21224
20150929,736236,20477
20150930,736237,20792
20151002,736239,21507
20151005,736242,21846
20151006,736243,21764
20151007,736244,22473
20151008,736245,22419
20151009,736246,22403
20151012,736249,22658
20151013,736250,22511
20151014,736251,22465
20151015,736252,22912
20151016,736253,23100
20151019,736256,23041
20151020,736257,22929
20151022,736259,22844
20151023,736260,23180
20151026,736263,23043
20151027,736264,23070
20151028,736265,22978
20151029,736266,22894
20151030,736267,22684
20151102,736270,22357
20151103,736271,22580
20151104,736272,23114
20151105,736273,22963
20151106,736274,22738
20151109,736277,22608
20151110,736278,22372
20151111,736279,22359
20151112,736280,22905
20151113,736281,22319
20151116,736284,22041
20151117,736285,22270
20151118,736286,22137
20151119,736287,22483
20151120,736288,22761
20151123,736291,22695
20151124,736292,22524
20151125,736293,22494
20151126,736294,22525
20151127,736295,22211
20151130,736298,21909
20151201,736299,22388
20151202,736300,22483
20151203,736301,22417
20151204,736302,22152
20151207,736305,22280
20151208,736306,21824
20151209,736307,21779
20151210,736308,21630
20151211,736309,21387
20151214,736312,21310
20151215,736313,21331
20151216,736314,21737
20151217,736315,21824
20151218,736316,21787
20151221,736319,21784
20151222,736320,21817
20151223,736321,22100
20151224,736322,22143
20151228,736326,21862
20151229,736327,22058
20151230,736328,21918
20151231,736329,21910
20160104,736333,21123
20160105,736334,21140
20160106,736335,20861
20160107,736336,20348
20160108,736337,20399
20160111,736340,19943
20160112,736341,19697
20160113,736342,20059
20160114,736343,19810
20160115,736344,19468
20160118,736347,19271
20160119,736348,19621
20160120,736349,18847
20160121,736350,18751
20160122,736351,19091
20160125,736354,19238
20160126,736355,18901
20160127,736356,19010
20160128,736357,19094
20160129,736358,19723
20160201,736361,19469
20160202,736362,19442
20160203,736363,18978
20160204,736364,19156
20160205,736365,19313
20160211,736371,18378
20160212,736372,18372
20160215,736375,18835
20160216,736376,19141
20160217,736377,18916
20160218,736378,19294
20160219,736379,19332
20160222,736382,19476
20160223,736383,19416
20160224,736384,19152
20160225,736385,18912
20160226,736386,19225
20160229,736389,19057
20160301,736390,19324
20160302,736391,19890
20160303,736392,19861
20160304,736393,20100
20160307,736396,20142
20160308,736397,19950
20160309,736398,19990
20160310,736399,20005
20160311,736400,20237
20160314,736403,20417
20160315,736404,20298
20160316,736405,20306
20160317,736406,20474
20160318,736407,20595
20160321,736410,20675
20160322,736411,20607
20160323,736412,20645
20160324,736413,20319
20160329,736418,20349
20160330,736419,20683
20160331,736420,20807
20160401,736421,20467
20160405,736425,20130
20160406,736426,20147
20160407,736427,20248
20160408,736428,20389
20160411,736431,20540
20160412,736432,20470
20160413,736433,21216
20160414,736434,21343
20160415,736435,21342
20160418,736438,21167
20160419,736439,21433
20160420,736440,21271
20160421,736441,21594
20160422,736442,21481
20160425,736445,21291
20160426,736446,21391
20160427,736447,21290
20160428,736448,21470
20160429,736449,20854
20160503,736453,20544
20160504,736454,20300
20160505,736455,20284
20160506,736456,19975
20160509,736459,20049
20160510,736460,20130
